1 children, influenza, rsv, asthma, adults
2 lung, inflammatory, inflammation, liver, il6        
3 cats, animals, lesions, brain, diarrhea             
4 cells, antibody, antibodies, igg, cell              
5 viruses, pathogens, hiv, bacteria, bacterial        
6 participants, students, learning, training, mental  
7 detection, samples, pcr, sensitivity, specimens     
8 vaccine, vaccines, vaccination, delivery, production
9 model, network, energy, models, performance         
10 epidemic, transmission, outbreak, surveillance, sars
11 proteins, protein, binding, residues, fusion        
12 ir, procedures, exposure, risk, management         
13 sequences, strains, sequence, species, genome       
